"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 6","4 wk ahead","Bin","percent","8.5","8.6",0.0055
"HHS Region 6","4 wk ahead","Bin","percent","8.6","8.7",0.0083
"HHS Region 6","4 wk ahead","Bin","percent","8.7","8.8",0.0039
"HHS Region 6","4 wk ahead","Bin","percent","8.8","8.9",0.0043
"HHS Region 6","4 wk ahead","Bin","percent","8.9","9.0",0.0044
"HHS Region 6","4 wk ahead","Bin","percent","9.0","9.1",0.0041
"HHS Region 6","4 wk ahead","Bin","percent","9.1","9.2",0.0043
"HHS Region 6","4 wk ahead","Bin","percent","9.2","9.3",0.0033
"HHS Region 6","4 wk ahead","Bin","percent","9.3","9.4",0.0036
"HHS Region 6","4 wk ahead","Bin","percent","9.4","9.5",0.0032
"HHS Region 6","4 wk ahead","Bin","percent","9.5","9.6",0.0023
"HHS Region 6","4 wk ahead","Bin","percent","9.6","9.7",0.0041
"HHS Region 6","4 wk ahead","Bin","percent","9.7","9.8",0.0025
"HHS Region 6","4 wk ahead","Bin","percent","9.8","9.9",0.0043
"HHS Region 6","4 wk ahead","Bin","percent","9.9","10.0",0.0034
"HHS Region 6","4 wk ahead","Bin","percent","10.0","10.1",0.0033
"HHS Region 6","4 wk ahead","Bin","percent","10.1","10.2",0.0018
"HHS Region 6","4 wk ahead","Bin","percent","10.2","10.3",0.004
"HHS Region 6","4 wk ahead","Bin","percent","10.3","10.4",0.0042
"HHS Region 6","4 wk ahead","Bin","percent","10.4","10.5",0.0034
"HHS Region 6","4 wk ahead","Bin","percent","10.5","10.6",0.0021
"HHS Region 6","4 wk ahead","Bin","percent","10.6","10.7",0.0022
"HHS Region 6","4 wk ahead","Bin","percent","10.7","10.8",0.0023
"HHS Region 6","4 wk ahead","Bin","percent","10.8","10.9",0.0023
"HHS Region 6","4 wk ahead","Bin","percent","10.9","11.0",0.0019
"HHS Region 6","4 wk ahead","Bin","percent","11.0","11.1",0.0023
"HHS Region 6","4 wk ahead","Bin","percent","11.1","11.2",0.0013
"HHS Region 6","4 wk ahead","Bin","percent","11.2","11.3",0.0023
"HHS Region 6","4 wk ahead","Bin","percent","11.3","11.4",0.0014
"HHS Region 6","4 wk ahead","Bin","percent","11.4","11.5",0.001
"HHS Region 6","4 wk ahead","Bin","percent","11.5","11.6",9e-04
"HHS Region 6","4 wk ahead","Bin","percent","11.6","11.7",0.0015
"HHS Region 6","4 wk ahead","Bin","percent","11.7","11.8",0.0013
"HHS Region 6","4 wk ahead","Bin","percent","11.8","11.9",0.0011
"HHS Region 6","4 wk ahead","Bin","percent","11.9","12.0",7e-04
"HHS Region 6","4 wk ahead","Bin","percent","12.0","12.1",9e-04
"HHS Region 6","4 wk ahead","Bin","percent","12.1","12.2",5e-04
"HHS Region 6","4 wk ahead","Bin","percent","12.2","12.3",8e-04
"HHS Region 6","4 wk ahead","Bin","percent","12.3","12.4",6e-04
"HHS Region 6","4 wk ahead","Bin","percent","12.4","12.5",5e-04
"HHS Region 6","4 wk ahead","Bin","percent","12.5","12.6",6e-04
"HHS Region 6","4 wk ahead","Bin","percent","12.6","12.7",6e-04
"HHS Region 6","4 wk ahead","Bin","percent","12.7","12.8",9e-04
"HHS Region 6","4 wk ahead","Bin","percent","12.8","12.9",0.001
"HHS Region 6","4 wk ahead","Bin","percent","12.9","13.0",8e-04
"HHS Region 6","4 wk ahead","Bin","percent","13.0","100.0",0.0039
"HHS Region 7","1 wk ahead","Point","percent",NA,NA,8.4
"HHS Region 7","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 7","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 7","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 7","1 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 7","1 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 7","1 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 7","1 wk ahead","Bin","percent","0.6","0.7",0
"HHS Region 7","1 wk ahead","Bin","percent","0.7","0.8",0
"HHS Region 7","1 wk ahead","Bin","percent","0.8","0.9",0
"HHS Region 7","1 wk ahead","Bin","percent","0.9","1.0",0
"HHS Region 7","1 wk ahead","Bin","percent","1.0","1.1",0
"HHS Region 7","1 wk ahead","Bin","percent","1.1","1.2",0
"HHS Region 7","1 wk ahead","Bin","percent","1.2","1.3",0
"HHS Region 7","1 wk ahead","Bin","percent","1.3","1.4",0
"HHS Region 7","1 wk ahead","Bin","percent","1.4","1.5",0
"HHS Region 7","1 wk ahead","Bin","percent","1.5","1.6",0
"HHS Region 7","1 wk ahead","Bin","percent","1.6","1.7",0
"HHS Region 7","1 wk ahead","Bin","percent","1.7","1.8",0
"HHS Region 7","1 wk ahead","Bin","percent","1.8","1.9",0
"HHS Region 7","1 wk ahead","Bin","percent","1.9","2.0",0
"HHS Region 7","1 wk ahead","Bin","percent","2.0","2.1",0
"HHS Region 7","1 wk ahead","Bin","percent","2.1","2.2",0
"HHS Region 7","1 wk ahead","Bin","percent","2.2","2.3",0
"HHS Region 7","1 wk ahead","Bin","percent","2.3","2.4",0
"HHS Region 7","1 wk ahead","Bin","percent","2.4","2.5",0
"HHS Region 7","1 wk ahead","Bin","percent","2.5","2.6",0
"HHS Region 7","1 wk ahead","Bin","percent","2.6","2.7",0
"HHS Region 7","1 wk ahead","Bin","percent","2.7","2.8",0
"HHS Region 7","1 wk ahead","Bin","percent","2.8","2.9",0
"HHS Region 7","1 wk ahead","Bin","percent","2.9","3.0",0
"HHS Region 7","1 wk ahead","Bin","percent","3.0","3.1",0
"HHS Region 7","1 wk ahead","Bin","percent","3.1","3.2",0
"HHS Region 7","1 wk ahead","Bin","percent","3.2","3.3",0
"HHS Region 7","1 wk ahead","Bin","percent","3.3","3.4",0
"HHS Region 7","1 wk ahead","Bin","percent","3.4","3.5",0
"HHS Region 7","1 wk ahead","Bin","percent","3.5","3.6",0
"HHS Region 7","1 wk ahead","Bin","percent","3.6","3.7",0
"HHS Region 7","1 wk ahead","Bin","percent","3.7","3.8",0
"HHS Region 7","1 wk ahead","Bin","percent","3.8","3.9",0
"HHS Region 7","1 wk ahead","Bin","percent","3.9","4.0",0
"HHS Region 7","1 wk ahead","Bin","percent","4.0","4.1",0
"HHS Region 7","1 wk ahead","Bin","percent","4.1","4.2",0
"HHS Region 7","1 wk ahead","Bin","percent","4.2","4.3",0
"HHS Region 7","1 wk ahead","Bin","percent","4.3","4.4",0
"HHS Region 7","1 wk ahead","Bin","percent","4.4","4.5",0
"HHS Region 7","1 wk ahead","Bin","percent","4.5","4.6",0
"HHS Region 7","1 wk ahead","Bin","percent","4.6","4.7",0
"HHS Region 7","1 wk ahead","Bin","percent","4.7","4.8",0
"HHS Region 7","1 wk ahead","Bin","percent","4.8","4.9",0
"HHS Region 7","1 wk ahead","Bin","percent","4.9","5.0",0
"HHS Region 7","1 wk ahead","Bin","percent","5.0","5.1",0
"HHS Region 7","1 wk ahead","Bin","percent","5.1","5.2",0
"HHS Region 7","1 wk ahead","Bin","percent","5.2","5.3",0
"HHS Region 7","1 wk ahead","Bin","percent","5.3","5.4",0
"HHS Region 7","1 wk ahead","Bin","percent","5.4","5.5",0
"HHS Region 7","1 wk ahead","Bin","percent","5.5","5.6",0
"HHS Region 7","1 wk ahead","Bin","percent","5.6","5.7",0
"HHS Region 7","1 wk ahead","Bin","percent","5.7","5.8",0
"HHS Region 7","1 wk ahead","Bin","percent","5.8","5.9",0
"HHS Region 7","1 wk ahead","Bin","percent","5.9","6.0",0
"HHS Region 7","1 wk ahead","Bin","percent","6.0","6.1",0
"HHS Region 7","1 wk ahead","Bin","percent","6.1","6.2",0
"HHS Region 7","1 wk ahead","Bin","percent","6.2","6.3",0
"HHS Region 7","1 wk ahead","Bin","percent","6.3","6.4",0
"HHS Region 7","1 wk ahead","Bin","percent","6.4","6.5",0
"HHS Region 7","1 wk ahead","Bin","percent","6.5","6.6",3e-04
"HHS Region 7","1 wk ahead","Bin","percent","6.6","6.7",0
"HHS Region 7","1 wk ahead","Bin","percent","6.7","6.8",0.0027
"HHS Region 7","1 wk ahead","Bin","percent","6.8","6.9",0.0021
"HHS Region 7","1 wk ahead","Bin","percent","6.9","7.0",0.0029
"HHS Region 7","1 wk ahead","Bin","percent","7.0","7.1",0.0117
"HHS Region 7","1 wk ahead","Bin","percent","7.1","7.2",0.0132
"HHS Region 7","1 wk ahead","Bin","percent","7.2","7.3",0.0104
"HHS Region 7","1 wk ahead","Bin","percent","7.3","7.4",0.0136
"HHS Region 7","1 wk ahead","Bin","percent","7.4","7.5",0.0175
"HHS Region 7","1 wk ahead","Bin","percent","7.5","7.6",0.0202
"HHS Region 7","1 wk ahead","Bin","percent","7.6","7.7",0.0323
"HHS Region 7","1 wk ahead","Bin","percent","7.7","7.8",0.0334
"HHS Region 7","1 wk ahead","Bin","percent","7.8","7.9",0.055
"HHS Region 7","1 wk ahead","Bin","percent","7.9","8.0",0.0482
"HHS Region 7","1 wk ahead","Bin","percent","8.0","8.1",0.0477
"HHS Region 7","1 wk ahead","Bin","percent","8.1","8.2",0.0393
"HHS Region 7","1 wk ahead","Bin","percent","8.2","8.3",0.0662
"HHS Region 7","1 wk ahead","Bin","percent","8.3","8.4",0.0628
"HHS Region 7","1 wk ahead","Bin","percent","8.4","8.5",0.0668
"HHS Region 7","1 wk ahead","Bin","percent","8.5","8.6",0.0753
"HHS Region 7","1 wk ahead","Bin","percent","8.6","8.7",0.0577
"HHS Region 7","1 wk ahead","Bin","percent","8.7","8.8",0.0679
"HHS Region 7","1 wk ahead","Bin","percent","8.8","8.9",0.0503
"HHS Region 7","1 wk ahead","Bin","percent","8.9","9.0",0.0388
"HHS Region 7","1 wk ahead","Bin","percent","9.0","9.1",0.0298
"HHS Region 7","1 wk ahead","Bin","percent","9.1","9.2",0.0285
"HHS Region 7","1 wk ahead","Bin","percent","9.2","9.3",0.0208
"HHS Region 7","1 wk ahead","Bin","percent","9.3","9.4",0.0153
"HHS Region 7","1 wk ahead","Bin","percent","9.4","9.5",0.0188
"HHS Region 7","1 wk ahead","Bin","percent","9.5","9.6",0.0108
"HHS Region 7","1 wk ahead","Bin","percent","9.6","9.7",0.0103
"HHS Region 7","1 wk ahead","Bin","percent","9.7","9.8",0.0079
"HHS Region 7","1 wk ahead","Bin","percent","9.8","9.9",0.0076
"HHS Region 7","1 wk ahead","Bin","percent","9.9","10.0",0.0041
"HHS Region 7","1 wk ahead","Bin","percent","10.0","10.1",0.0051
"HHS Region 7","1 wk ahead","Bin","percent","10.1","10.2",0.0036
"HHS Region 7","1 wk ahead","Bin","percent","10.2","10.3",6e-04
"HHS Region 7","1 wk ahead","Bin","percent","10.3","10.4",5e-04
"HHS Region 7","1 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 7","1 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 7","1 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 7","1 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 7","1 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 7","1 wk ahead","Bin","percent","10.9","11.0",0
"HHS Region 7","1 wk ahead","Bin","percent","11.0","11.1",0
"HHS Region 7","1 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 7","1 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 7","1 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 7","1 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 7","1 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 7","1 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 7","1 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 7","1 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 7","1 wk ahead","Bin","percent","11.9","12.0",0
"HHS Region 7","1 wk ahead","Bin","percent","12.0","12.1",0
"HHS Region 7","1 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 7","1 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 7","1 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 7","1 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 7","1 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 7","1 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 7","1 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 7","1 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 7","1 wk ahead","Bin","percent","12.9","13.0",0
"HHS Region 7","1 wk ahead","Bin","percent","13.0","100.0",0
"HHS Region 7","2 wk ahead","Point","percent",NA,NA,7.3
"HHS Region 7","2 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 7","2 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 7","2 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 7","2 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 7","2 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 7","2 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 7","2 wk ahead","Bin","percent","0.6","0.7",0
"HHS Region 7","2 wk ahead","Bin","percent","0.7","0.8",0
"HHS Region 7","2 wk ahead","Bin","percent","0.8","0.9",0
"HHS Region 7","2 wk ahead","Bin","percent","0.9","1.0",0
"HHS Region 7","2 wk ahead","Bin","percent","1.0","1.1",0
"HHS Region 7","2 wk ahead","Bin","percent","1.1","1.2",0
"HHS Region 7","2 wk ahead","Bin","percent","1.2","1.3",0
"HHS Region 7","2 wk ahead","Bin","percent","1.3","1.4",0
"HHS Region 7","2 wk ahead","Bin","percent","1.4","1.5",0
"HHS Region 7","2 wk ahead","Bin","percent","1.5","1.6",0
"HHS Region 7","2 wk ahead","Bin","percent","1.6","1.7",0
"HHS Region 7","2 wk ahead","Bin","percent","1.7","1.8",0
"HHS Region 7","2 wk ahead","Bin","percent","1.8","1.9",0
"HHS Region 7","2 wk ahead","Bin","percent","1.9","2.0",0
"HHS Region 7","2 wk ahead","Bin","percent","2.0","2.1",0
"HHS Region 7","2 wk ahead","Bin","percent","2.1","2.2",0
"HHS Region 7","2 wk ahead","Bin","percent","2.2","2.3",0
"HHS Region 7","2 wk ahead","Bin","percent","2.3","2.4",0
"HHS Region 7","2 wk ahead","Bin","percent","2.4","2.5",0
"HHS Region 7","2 wk ahead","Bin","percent","2.5","2.6",0
"HHS Region 7","2 wk ahead","Bin","percent","2.6","2.7",0
"HHS Region 7","2 wk ahead","Bin","percent","2.7","2.8",0
"HHS Region 7","2 wk ahead","Bin","percent","2.8","2.9",0
"HHS Region 7","2 wk ahead","Bin","percent","2.9","3.0",0
"HHS Region 7","2 wk ahead","Bin","percent","3.0","3.1",0
"HHS Region 7","2 wk ahead","Bin","percent","3.1","3.2",0
"HHS Region 7","2 wk ahead","Bin","percent","3.2","3.3",0
"HHS Region 7","2 wk ahead","Bin","percent","3.3","3.4",0
"HHS Region 7","2 wk ahead","Bin","percent","3.4","3.5",0
"HHS Region 7","2 wk ahead","Bin","percent","3.5","3.6",0
"HHS Region 7","2 wk ahead","Bin","percent","3.6","3.7",0
"HHS Region 7","2 wk ahead","Bin","percent","3.7","3.8",0
"HHS Region 7","2 wk ahead","Bin","percent","3.8","3.9",0
"HHS Region 7","2 wk ahead","Bin","percent","3.9","4.0",0
"HHS Region 7","2 wk ahead","Bin","percent","4.0","4.1",0
"HHS Region 7","2 wk ahead","Bin","percent","4.1","4.2",0
"HHS Region 7","2 wk ahead","Bin","percent","4.2","4.3",0
"HHS Region 7","2 wk ahead","Bin","percent","4.3","4.4",0
"HHS Region 7","2 wk ahead","Bin","percent","4.4","4.5",2e-04
"HHS Region 7","2 wk ahead","Bin","percent","4.5","4.6",0
"HHS Region 7","2 wk ahead","Bin","percent","4.6","4.7",0.0012
"HHS Region 7","2 wk ahead","Bin","percent","4.7","4.8",9e-04
"HHS Region 7","2 wk ahead","Bin","percent","4.8","4.9",0.0015
"HHS Region 7","2 wk ahead","Bin","percent","4.9","5.0",9e-04
"HHS Region 7","2 wk ahead","Bin","percent","5.0","5.1",0.0012
"HHS Region 7","2 wk ahead","Bin","percent","5.1","5.2",0.0036
"HHS Region 7","2 wk ahead","Bin","percent","5.2","5.3",0.0082
"HHS Region 7","2 wk ahead","Bin","percent","5.3","5.4",0.0106
"HHS Region 7","2 wk ahead","Bin","percent","5.4","5.5",0.0089
"HHS Region 7","2 wk ahead","Bin","percent","5.5","5.6",0.0116
"HHS Region 7","2 wk ahead","Bin","percent","5.6","5.7",0.0129
"HHS Region 7","2 wk ahead","Bin","percent","5.7","5.8",0.0101
"HHS Region 7","2 wk ahead","Bin","percent","5.8","5.9",0.011
"HHS Region 7","2 wk ahead","Bin","percent","5.9","6.0",0.0085
"HHS Region 7","2 wk ahead","Bin","percent","6.0","6.1",0.0212
"HHS Region 7","2 wk ahead","Bin","percent","6.1","6.2",0.0157
"HHS Region 7","2 wk ahead","Bin","percent","6.2","6.3",0.0259
"HHS Region 7","2 wk ahead","Bin","percent","6.3","6.4",0.0217
"HHS Region 7","2 wk ahead","Bin","percent","6.4","6.5",0.0173
"HHS Region 7","2 wk ahead","Bin","percent","6.5","6.6",0.0254
"HHS Region 7","2 wk ahead","Bin","percent","6.6","6.7",0.0312
"HHS Region 7","2 wk ahead","Bin","percent","6.7","6.8",0.0276
"HHS Region 7","2 wk ahead","Bin","percent","6.8","6.9",0.0347
"HHS Region 7","2 wk ahead","Bin","percent","6.9","7.0",0.0268
"HHS Region 7","2 wk ahead","Bin","percent","7.0","7.1",0.0521
"HHS Region 7","2 wk ahead","Bin","percent","7.1","7.2",0.0478
"HHS Region 7","2 wk ahead","Bin","percent","7.2","7.3",0.0525
"HHS Region 7","2 wk ahead","Bin","percent","7.3","7.4",0.0356
"HHS Region 7","2 wk ahead","Bin","percent","7.4","7.5",0.0379
"HHS Region 7","2 wk ahead","Bin","percent","7.5","7.6",0.0342
"HHS Region 7","2 wk ahead","Bin","percent","7.6","7.7",0.0293
"HHS Region 7","2 wk ahead","Bin","percent","7.7","7.8",0.0228
"HHS Region 7","2 wk ahead","Bin","percent","7.8","7.9",0.029
"HHS Region 7","2 wk ahead","Bin","percent","7.9","8.0",0.0619
"HHS Region 7","2 wk ahead","Bin","percent","8.0","8.1",0.0568
"HHS Region 7","2 wk ahead","Bin","percent","8.1","8.2",0.032
"HHS Region 7","2 wk ahead","Bin","percent","8.2","8.3",0.0194
"HHS Region 7","2 wk ahead","Bin","percent","8.3","8.4",0.023
"HHS Region 7","2 wk ahead","Bin","percent","8.4","8.5",0.0115
"HHS Region 7","2 wk ahead","Bin","percent","8.5","8.6",0.0228
"HHS Region 7","2 wk ahead","Bin","percent","8.6","8.7",0.017
"HHS Region 7","2 wk ahead","Bin","percent","8.7","8.8",0.009
"HHS Region 7","2 wk ahead","Bin","percent","8.8","8.9",0.0082
"HHS Region 7","2 wk ahead","Bin","percent","8.9","9.0",0.0078
"HHS Region 7","2 wk ahead","Bin","percent","9.0","9.1",0.0091
"HHS Region 7","2 wk ahead","Bin","percent","9.1","9.2",0.009
"HHS Region 7","2 wk ahead","Bin","percent","9.2","9.3",0.0092
"HHS Region 7","2 wk ahead","Bin","percent","9.3","9.4",0.0051
"HHS Region 7","2 wk ahead","Bin","percent","9.4","9.5",0.0045
"HHS Region 7","2 wk ahead","Bin","percent","9.5","9.6",0.0019
"HHS Region 7","2 wk ahead","Bin","percent","9.6","9.7",0.0021
"HHS Region 7","2 wk ahead","Bin","percent","9.7","9.8",0.0025
"HHS Region 7","2 wk ahead","Bin","percent","9.8","9.9",0.0034
"HHS Region 7","2 wk ahead","Bin","percent","9.9","10.0",0.0018
"HHS Region 7","2 wk ahead","Bin","percent","10.0","10.1",0.0013
"HHS Region 7","2 wk ahead","Bin","percent","10.1","10.2",4e-04
"HHS Region 7","2 wk ahead","Bin","percent","10.2","10.3",3e-04
"HHS Region 7","2 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 7","2 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 7","2 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 7","2 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 7","2 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 7","2 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 7","2 wk ahead","Bin","percent","10.9","11.0",0
"HHS Region 7","2 wk ahead","Bin","percent","11.0","11.1",0
"HHS Region 7","2 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 7","2 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 7","2 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 7","2 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 7","2 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 7","2 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 7","2 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 7","2 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 7","2 wk ahead","Bin","percent","11.9","12.0",0
"HHS Region 7","2 wk ahead","Bin","percent","12.0","12.1",0
"HHS Region 7","2 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 7","2 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 7","2 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 7","2 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 7","2 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 7","2 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 7","2 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 7","2 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 7","2 wk ahead","Bin","percent","12.9","13.0",0
"HHS Region 7","2 wk ahead","Bin","percent","13.0","100.0",0
"HHS Region 7","3 wk ahead","Point","percent",NA,NA,5.9
"HHS Region 7","3 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 7","3 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 7","3 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 7","3 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 7","3 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 7","3 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 7","3 wk ahead","Bin","percent","0.6","0.7",0
"HHS Region 7","3 wk ahead","Bin","percent","0.7","0.8",0
"HHS Region 7","3 wk ahead","Bin","percent","0.8","0.9",0
"HHS Region 7","3 wk ahead","Bin","percent","0.9","1.0",0
"HHS Region 7","3 wk ahead","Bin","percent","1.0","1.1",0
"HHS Region 7","3 wk ahead","Bin","percent","1.1","1.2",0
"HHS Region 7","3 wk ahead","Bin","percent","1.2","1.3",0
"HHS Region 7","3 wk ahead","Bin","percent","1.3","1.4",0
"HHS Region 7","3 wk ahead","Bin","percent","1.4","1.5",0
"HHS Region 7","3 wk ahead","Bin","percent","1.5","1.6",0
"HHS Region 7","3 wk ahead","Bin","percent","1.6","1.7",0
"HHS Region 7","3 wk ahead","Bin","percent","1.7","1.8",0
"HHS Region 7","3 wk ahead","Bin","percent","1.8","1.9",0
"HHS Region 7","3 wk ahead","Bin","percent","1.9","2.0",0
"HHS Region 7","3 wk ahead","Bin","percent","2.0","2.1",0
"HHS Region 7","3 wk ahead","Bin","percent","2.1","2.2",0
"HHS Region 7","3 wk ahead","Bin","percent","2.2","2.3",0
"HHS Region 7","3 wk ahead","Bin","percent","2.3","2.4",0
"HHS Region 7","3 wk ahead","Bin","percent","2.4","2.5",0
"HHS Region 7","3 wk ahead","Bin","percent","2.5","2.6",0
"HHS Region 7","3 wk ahead","Bin","percent","2.6","2.7",0
"HHS Region 7","3 wk ahead","Bin","percent","2.7","2.8",0
"HHS Region 7","3 wk ahead","Bin","percent","2.8","2.9",0
"HHS Region 7","3 wk ahead","Bin","percent","2.9","3.0",3e-04
"HHS Region 7","3 wk ahead","Bin","percent","3.0","3.1",1e-04
"HHS Region 7","3 wk ahead","Bin","percent","3.1","3.2",5e-04
"HHS Region 7","3 wk ahead","Bin","percent","3.2","3.3",0.001
"HHS Region 7","3 wk ahead","Bin","percent","3.3","3.4",8e-04
"HHS Region 7","3 wk ahead","Bin","percent","3.4","3.5",0.0029
"HHS Region 7","3 wk ahead","Bin","percent","3.5","3.6",0.002
