"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 9","3 wk ahead","Bin","percent","4.9","5.0",6e-04
"HHS Region 9","3 wk ahead","Bin","percent","5.0","5.1",6e-04
"HHS Region 9","3 wk ahead","Bin","percent","5.1","5.2",5e-04
"HHS Region 9","3 wk ahead","Bin","percent","5.2","5.3",6e-04
"HHS Region 9","3 wk ahead","Bin","percent","5.3","5.4",5e-04
"HHS Region 9","3 wk ahead","Bin","percent","5.4","5.5",7e-04
"HHS Region 9","3 wk ahead","Bin","percent","5.5","5.6",0.0011
"HHS Region 9","3 wk ahead","Bin","percent","5.6","5.7",0.0013
"HHS Region 9","3 wk ahead","Bin","percent","5.7","5.8",8e-04
"HHS Region 9","3 wk ahead","Bin","percent","5.8","5.9",2e-04
"HHS Region 9","3 wk ahead","Bin","percent","5.9","6.0",8e-04
"HHS Region 9","3 wk ahead","Bin","percent","6.0","6.1",6e-04
"HHS Region 9","3 wk ahead","Bin","percent","6.1","6.2",0.0015
"HHS Region 9","3 wk ahead","Bin","percent","6.2","6.3",0.001
"HHS Region 9","3 wk ahead","Bin","percent","6.3","6.4",6e-04
"HHS Region 9","3 wk ahead","Bin","percent","6.4","6.5",5e-04
"HHS Region 9","3 wk ahead","Bin","percent","6.5","6.6",3e-04
"HHS Region 9","3 wk ahead","Bin","percent","6.6","6.7",6e-04
"HHS Region 9","3 wk ahead","Bin","percent","6.7","6.8",0.001
"HHS Region 9","3 wk ahead","Bin","percent","6.8","6.9",7e-04
"HHS Region 9","3 wk ahead","Bin","percent","6.9","7.0",5e-04
"HHS Region 9","3 wk ahead","Bin","percent","7.0","7.1",7e-04
"HHS Region 9","3 wk ahead","Bin","percent","7.1","7.2",6e-04
"HHS Region 9","3 wk ahead","Bin","percent","7.2","7.3",0.0011
"HHS Region 9","3 wk ahead","Bin","percent","7.3","7.4",6e-04
"HHS Region 9","3 wk ahead","Bin","percent","7.4","7.5",7e-04
"HHS Region 9","3 wk ahead","Bin","percent","7.5","7.6",6e-04
"HHS Region 9","3 wk ahead","Bin","percent","7.6","7.7",7e-04
"HHS Region 9","3 wk ahead","Bin","percent","7.7","7.8",7e-04
"HHS Region 9","3 wk ahead","Bin","percent","7.8","7.9",7e-04
"HHS Region 9","3 wk ahead","Bin","percent","7.9","8.0",0.0011
"HHS Region 9","3 wk ahead","Bin","percent","8.0","8.1",8e-04
"HHS Region 9","3 wk ahead","Bin","percent","8.1","8.2",9e-04
"HHS Region 9","3 wk ahead","Bin","percent","8.2","8.3",7e-04
"HHS Region 9","3 wk ahead","Bin","percent","8.3","8.4",0.0014
"HHS Region 9","3 wk ahead","Bin","percent","8.4","8.5",0.0012
"HHS Region 9","3 wk ahead","Bin","percent","8.5","8.6",0.0011
"HHS Region 9","3 wk ahead","Bin","percent","8.6","8.7",8e-04
"HHS Region 9","3 wk ahead","Bin","percent","8.7","8.8",0.001
"HHS Region 9","3 wk ahead","Bin","percent","8.8","8.9",3e-04
"HHS Region 9","3 wk ahead","Bin","percent","8.9","9.0",7e-04
"HHS Region 9","3 wk ahead","Bin","percent","9.0","9.1",0.0011
"HHS Region 9","3 wk ahead","Bin","percent","9.1","9.2",4e-04
"HHS Region 9","3 wk ahead","Bin","percent","9.2","9.3",7e-04
"HHS Region 9","3 wk ahead","Bin","percent","9.3","9.4",0.001
"HHS Region 9","3 wk ahead","Bin","percent","9.4","9.5",9e-04
"HHS Region 9","3 wk ahead","Bin","percent","9.5","9.6",8e-04
"HHS Region 9","3 wk ahead","Bin","percent","9.6","9.7",7e-04
"HHS Region 9","3 wk ahead","Bin","percent","9.7","9.8",0.0011
"HHS Region 9","3 wk ahead","Bin","percent","9.8","9.9",9e-04
"HHS Region 9","3 wk ahead","Bin","percent","9.9","10.0",7e-04
"HHS Region 9","3 wk ahead","Bin","percent","10.0","10.1",6e-04
"HHS Region 9","3 wk ahead","Bin","percent","10.1","10.2",9e-04
"HHS Region 9","3 wk ahead","Bin","percent","10.2","10.3",9e-04
"HHS Region 9","3 wk ahead","Bin","percent","10.3","10.4",5e-04
"HHS Region 9","3 wk ahead","Bin","percent","10.4","10.5",7e-04
"HHS Region 9","3 wk ahead","Bin","percent","10.5","10.6",8e-04
"HHS Region 9","3 wk ahead","Bin","percent","10.6","10.7",8e-04
"HHS Region 9","3 wk ahead","Bin","percent","10.7","10.8",5e-04
"HHS Region 9","3 wk ahead","Bin","percent","10.8","10.9",5e-04
"HHS Region 9","3 wk ahead","Bin","percent","10.9","11.0",9e-04
"HHS Region 9","3 wk ahead","Bin","percent","11.0","11.1",5e-04
"HHS Region 9","3 wk ahead","Bin","percent","11.1","11.2",6e-04
"HHS Region 9","3 wk ahead","Bin","percent","11.2","11.3",4e-04
"HHS Region 9","3 wk ahead","Bin","percent","11.3","11.4",0.0015
"HHS Region 9","3 wk ahead","Bin","percent","11.4","11.5",8e-04
"HHS Region 9","3 wk ahead","Bin","percent","11.5","11.6",4e-04
"HHS Region 9","3 wk ahead","Bin","percent","11.6","11.7",8e-04
"HHS Region 9","3 wk ahead","Bin","percent","11.7","11.8",9e-04
"HHS Region 9","3 wk ahead","Bin","percent","11.8","11.9",0.0011
"HHS Region 9","3 wk ahead","Bin","percent","11.9","12.0",7e-04
"HHS Region 9","3 wk ahead","Bin","percent","12.0","12.1",9e-04
"HHS Region 9","3 wk ahead","Bin","percent","12.1","12.2",9e-04
"HHS Region 9","3 wk ahead","Bin","percent","12.2","12.3",9e-04
"HHS Region 9","3 wk ahead","Bin","percent","12.3","12.4",5e-04
"HHS Region 9","3 wk ahead","Bin","percent","12.4","12.5",7e-04
"HHS Region 9","3 wk ahead","Bin","percent","12.5","12.6",5e-04
"HHS Region 9","3 wk ahead","Bin","percent","12.6","12.7",6e-04
"HHS Region 9","3 wk ahead","Bin","percent","12.7","12.8",0.0012
"HHS Region 9","3 wk ahead","Bin","percent","12.8","12.9",3e-04
"HHS Region 9","3 wk ahead","Bin","percent","12.9","13.0",7e-04
"HHS Region 9","3 wk ahead","Bin","percent","13.0","100.0",0.0013
"HHS Region 9","4 wk ahead","Point","percent",NA,NA,1.9
"HHS Region 9","4 wk ahead","Bin","percent","0.0","0.1",5e-04
"HHS Region 9","4 wk ahead","Bin","percent","0.1","0.2",2e-04
"HHS Region 9","4 wk ahead","Bin","percent","0.2","0.3",5e-04
"HHS Region 9","4 wk ahead","Bin","percent","0.3","0.4",0.0011
"HHS Region 9","4 wk ahead","Bin","percent","0.4","0.5",5e-04
"HHS Region 9","4 wk ahead","Bin","percent","0.5","0.6",6e-04
"HHS Region 9","4 wk ahead","Bin","percent","0.6","0.7",4e-04
"HHS Region 9","4 wk ahead","Bin","percent","0.7","0.8",8e-04
"HHS Region 9","4 wk ahead","Bin","percent","0.8","0.9",0.0024
"HHS Region 9","4 wk ahead","Bin","percent","0.9","1.0",0.0029
"HHS Region 9","4 wk ahead","Bin","percent","1.0","1.1",0.0097
"HHS Region 9","4 wk ahead","Bin","percent","1.1","1.2",0.0117
"HHS Region 9","4 wk ahead","Bin","percent","1.2","1.3",0.0275
"HHS Region 9","4 wk ahead","Bin","percent","1.3","1.4",0.0393
"HHS Region 9","4 wk ahead","Bin","percent","1.4","1.5",0.0534
"HHS Region 9","4 wk ahead","Bin","percent","1.5","1.6",0.0639
"HHS Region 9","4 wk ahead","Bin","percent","1.6","1.7",0.0695
"HHS Region 9","4 wk ahead","Bin","percent","1.7","1.8",0.0872
"HHS Region 9","4 wk ahead","Bin","percent","1.8","1.9",0.0761
"HHS Region 9","4 wk ahead","Bin","percent","1.9","2.0",0.0724
"HHS Region 9","4 wk ahead","Bin","percent","2.0","2.1",0.0784
"HHS Region 9","4 wk ahead","Bin","percent","2.1","2.2",0.068
"HHS Region 9","4 wk ahead","Bin","percent","2.2","2.3",0.052
"HHS Region 9","4 wk ahead","Bin","percent","2.3","2.4",0.0415
"HHS Region 9","4 wk ahead","Bin","percent","2.4","2.5",0.0334
"HHS Region 9","4 wk ahead","Bin","percent","2.5","2.6",0.03
"HHS Region 9","4 wk ahead","Bin","percent","2.6","2.7",0.0275
"HHS Region 9","4 wk ahead","Bin","percent","2.7","2.8",0.021
"HHS Region 9","4 wk ahead","Bin","percent","2.8","2.9",0.0156
"HHS Region 9","4 wk ahead","Bin","percent","2.9","3.0",0.0112
"HHS Region 9","4 wk ahead","Bin","percent","3.0","3.1",0.0076
"HHS Region 9","4 wk ahead","Bin","percent","3.1","3.2",0.0066
"HHS Region 9","4 wk ahead","Bin","percent","3.2","3.3",0.006
"HHS Region 9","4 wk ahead","Bin","percent","3.3","3.4",0.0024
"HHS Region 9","4 wk ahead","Bin","percent","3.4","3.5",0.0025
"HHS Region 9","4 wk ahead","Bin","percent","3.5","3.6",0.0014
"HHS Region 9","4 wk ahead","Bin","percent","3.6","3.7",0.0013
"HHS Region 9","4 wk ahead","Bin","percent","3.7","3.8",9e-04
"HHS Region 9","4 wk ahead","Bin","percent","3.8","3.9",6e-04
"HHS Region 9","4 wk ahead","Bin","percent","3.9","4.0",0.0018
"HHS Region 9","4 wk ahead","Bin","percent","4.0","4.1",0.0012
"HHS Region 9","4 wk ahead","Bin","percent","4.1","4.2",0.0014
"HHS Region 9","4 wk ahead","Bin","percent","4.2","4.3",7e-04
"HHS Region 9","4 wk ahead","Bin","percent","4.3","4.4",9e-04
"HHS Region 9","4 wk ahead","Bin","percent","4.4","4.5",8e-04
"HHS Region 9","4 wk ahead","Bin","percent","4.5","4.6",6e-04
"HHS Region 9","4 wk ahead","Bin","percent","4.6","4.7",9e-04
"HHS Region 9","4 wk ahead","Bin","percent","4.7","4.8",5e-04
"HHS Region 9","4 wk ahead","Bin","percent","4.8","4.9",0.0011
"HHS Region 9","4 wk ahead","Bin","percent","4.9","5.0",6e-04
"HHS Region 9","4 wk ahead","Bin","percent","5.0","5.1",5e-04
"HHS Region 9","4 wk ahead","Bin","percent","5.1","5.2",5e-04
"HHS Region 9","4 wk ahead","Bin","percent","5.2","5.3",0.001
"HHS Region 9","4 wk ahead","Bin","percent","5.3","5.4",7e-04
"HHS Region 9","4 wk ahead","Bin","percent","5.4","5.5",4e-04
"HHS Region 9","4 wk ahead","Bin","percent","5.5","5.6",0.001
"HHS Region 9","4 wk ahead","Bin","percent","5.6","5.7",8e-04
"HHS Region 9","4 wk ahead","Bin","percent","5.7","5.8",0.001
"HHS Region 9","4 wk ahead","Bin","percent","5.8","5.9",6e-04
"HHS Region 9","4 wk ahead","Bin","percent","5.9","6.0",8e-04
"HHS Region 9","4 wk ahead","Bin","percent","6.0","6.1",0.001
"HHS Region 9","4 wk ahead","Bin","percent","6.1","6.2",7e-04
"HHS Region 9","4 wk ahead","Bin","percent","6.2","6.3",4e-04
"HHS Region 9","4 wk ahead","Bin","percent","6.3","6.4",6e-04
"HHS Region 9","4 wk ahead","Bin","percent","6.4","6.5",5e-04
"HHS Region 9","4 wk ahead","Bin","percent","6.5","6.6",6e-04
"HHS Region 9","4 wk ahead","Bin","percent","6.6","6.7",3e-04
"HHS Region 9","4 wk ahead","Bin","percent","6.7","6.8",5e-04
"HHS Region 9","4 wk ahead","Bin","percent","6.8","6.9",7e-04
"HHS Region 9","4 wk ahead","Bin","percent","6.9","7.0",0.0012
"HHS Region 9","4 wk ahead","Bin","percent","7.0","7.1",6e-04
"HHS Region 9","4 wk ahead","Bin","percent","7.1","7.2",5e-04
"HHS Region 9","4 wk ahead","Bin","percent","7.2","7.3",5e-04
"HHS Region 9","4 wk ahead","Bin","percent","7.3","7.4",3e-04
"HHS Region 9","4 wk ahead","Bin","percent","7.4","7.5",1e-04
"HHS Region 9","4 wk ahead","Bin","percent","7.5","7.6",3e-04
"HHS Region 9","4 wk ahead","Bin","percent","7.6","7.7",5e-04
"HHS Region 9","4 wk ahead","Bin","percent","7.7","7.8",0.001
"HHS Region 9","4 wk ahead","Bin","percent","7.8","7.9",8e-04
"HHS Region 9","4 wk ahead","Bin","percent","7.9","8.0",0.001
"HHS Region 9","4 wk ahead","Bin","percent","8.0","8.1",7e-04
"HHS Region 9","4 wk ahead","Bin","percent","8.1","8.2",0.0011
"HHS Region 9","4 wk ahead","Bin","percent","8.2","8.3",5e-04
"HHS Region 9","4 wk ahead","Bin","percent","8.3","8.4",0.001
"HHS Region 9","4 wk ahead","Bin","percent","8.4","8.5",9e-04
"HHS Region 9","4 wk ahead","Bin","percent","8.5","8.6",0.0013
"HHS Region 9","4 wk ahead","Bin","percent","8.6","8.7",5e-04
"HHS Region 9","4 wk ahead","Bin","percent","8.7","8.8",5e-04
"HHS Region 9","4 wk ahead","Bin","percent","8.8","8.9",6e-04
"HHS Region 9","4 wk ahead","Bin","percent","8.9","9.0",8e-04
"HHS Region 9","4 wk ahead","Bin","percent","9.0","9.1",5e-04
"HHS Region 9","4 wk ahead","Bin","percent","9.1","9.2",0.0014
"HHS Region 9","4 wk ahead","Bin","percent","9.2","9.3",7e-04
"HHS Region 9","4 wk ahead","Bin","percent","9.3","9.4",8e-04
"HHS Region 9","4 wk ahead","Bin","percent","9.4","9.5",6e-04
"HHS Region 9","4 wk ahead","Bin","percent","9.5","9.6",0.0012
"HHS Region 9","4 wk ahead","Bin","percent","9.6","9.7",0.001
"HHS Region 9","4 wk ahead","Bin","percent","9.7","9.8",8e-04
"HHS Region 9","4 wk ahead","Bin","percent","9.8","9.9",9e-04
"HHS Region 9","4 wk ahead","Bin","percent","9.9","10.0",9e-04
"HHS Region 9","4 wk ahead","Bin","percent","10.0","10.1",2e-04
"HHS Region 9","4 wk ahead","Bin","percent","10.1","10.2",9e-04
"HHS Region 9","4 wk ahead","Bin","percent","10.2","10.3",8e-04
"HHS Region 9","4 wk ahead","Bin","percent","10.3","10.4",8e-04
"HHS Region 9","4 wk ahead","Bin","percent","10.4","10.5",9e-04
"HHS Region 9","4 wk ahead","Bin","percent","10.5","10.6",6e-04
"HHS Region 9","4 wk ahead","Bin","percent","10.6","10.7",5e-04
"HHS Region 9","4 wk ahead","Bin","percent","10.7","10.8",7e-04
"HHS Region 9","4 wk ahead","Bin","percent","10.8","10.9",2e-04
"HHS Region 9","4 wk ahead","Bin","percent","10.9","11.0",7e-04
"HHS Region 9","4 wk ahead","Bin","percent","11.0","11.1",8e-04
"HHS Region 9","4 wk ahead","Bin","percent","11.1","11.2",0.001
"HHS Region 9","4 wk ahead","Bin","percent","11.2","11.3",3e-04
"HHS Region 9","4 wk ahead","Bin","percent","11.3","11.4",3e-04
"HHS Region 9","4 wk ahead","Bin","percent","11.4","11.5",0.001
"HHS Region 9","4 wk ahead","Bin","percent","11.5","11.6",9e-04
"HHS Region 9","4 wk ahead","Bin","percent","11.6","11.7",0.0011
"HHS Region 9","4 wk ahead","Bin","percent","11.7","11.8",5e-04
"HHS Region 9","4 wk ahead","Bin","percent","11.8","11.9",9e-04
"HHS Region 9","4 wk ahead","Bin","percent","11.9","12.0",0.0013
"HHS Region 9","4 wk ahead","Bin","percent","12.0","12.1",6e-04
"HHS Region 9","4 wk ahead","Bin","percent","12.1","12.2",9e-04
"HHS Region 9","4 wk ahead","Bin","percent","12.2","12.3",9e-04
"HHS Region 9","4 wk ahead","Bin","percent","12.3","12.4",8e-04
"HHS Region 9","4 wk ahead","Bin","percent","12.4","12.5",7e-04
"HHS Region 9","4 wk ahead","Bin","percent","12.5","12.6",0.0013
"HHS Region 9","4 wk ahead","Bin","percent","12.6","12.7",0.001
"HHS Region 9","4 wk ahead","Bin","percent","12.7","12.8",0.0012
"HHS Region 9","4 wk ahead","Bin","percent","12.8","12.9",0.0012
"HHS Region 9","4 wk ahead","Bin","percent","12.9","13.0",6e-04
"HHS Region 9","4 wk ahead","Bin","percent","13.0","100.0",0.0013
"US National","1 wk ahead","Point","percent",NA,NA,1.9
"US National","1 wk ahead","Bin","percent","0.0","0.1",6e-04
"US National","1 wk ahead","Bin","percent","0.1","0.2",5e-04
"US National","1 wk ahead","Bin","percent","0.2","0.3",4e-04
"US National","1 wk ahead","Bin","percent","0.3","0.4",7e-04
"US National","1 wk ahead","Bin","percent","0.4","0.5",4e-04
"US National","1 wk ahead","Bin","percent","0.5","0.6",0.0011
"US National","1 wk ahead","Bin","percent","0.6","0.7",0.0011
"US National","1 wk ahead","Bin","percent","0.7","0.8",0.0011
"US National","1 wk ahead","Bin","percent","0.8","0.9",6e-04
"US National","1 wk ahead","Bin","percent","0.9","1.0",7e-04
"US National","1 wk ahead","Bin","percent","1.0","1.1",7e-04
"US National","1 wk ahead","Bin","percent","1.1","1.2",8e-04
"US National","1 wk ahead","Bin","percent","1.2","1.3",5e-04
"US National","1 wk ahead","Bin","percent","1.3","1.4",0.0097
"US National","1 wk ahead","Bin","percent","1.4","1.5",0.0118
"US National","1 wk ahead","Bin","percent","1.5","1.6",0.0674
"US National","1 wk ahead","Bin","percent","1.6","1.7",0.0959
"US National","1 wk ahead","Bin","percent","1.7","1.8",0.1337
"US National","1 wk ahead","Bin","percent","1.8","1.9",0.1156
"US National","1 wk ahead","Bin","percent","1.9","2.0",0.1093
"US National","1 wk ahead","Bin","percent","2.0","2.1",0.1488
"US National","1 wk ahead","Bin","percent","2.1","2.2",0.0832
"US National","1 wk ahead","Bin","percent","2.2","2.3",0.0265
"US National","1 wk ahead","Bin","percent","2.3","2.4",0.0557
"US National","1 wk ahead","Bin","percent","2.4","2.5",0.0335
"US National","1 wk ahead","Bin","percent","2.5","2.6",0.0052
"US National","1 wk ahead","Bin","percent","2.6","2.7",0.0077
"US National","1 wk ahead","Bin","percent","2.7","2.8",0.0016
"US National","1 wk ahead","Bin","percent","2.8","2.9",6e-04
"US National","1 wk ahead","Bin","percent","2.9","3.0",9e-04
"US National","1 wk ahead","Bin","percent","3.0","3.1",6e-04
"US National","1 wk ahead","Bin","percent","3.1","3.2",7e-04
"US National","1 wk ahead","Bin","percent","3.2","3.3",0.0013
"US National","1 wk ahead","Bin","percent","3.3","3.4",0.0012
"US National","1 wk ahead","Bin","percent","3.4","3.5",6e-04
"US National","1 wk ahead","Bin","percent","3.5","3.6",0.001
"US National","1 wk ahead","Bin","percent","3.6","3.7",8e-04
"US National","1 wk ahead","Bin","percent","3.7","3.8",0.0015
"US National","1 wk ahead","Bin","percent","3.8","3.9",0.0012
"US National","1 wk ahead","Bin","percent","3.9","4.0",8e-04
"US National","1 wk ahead","Bin","percent","4.0","4.1",6e-04
"US National","1 wk ahead","Bin","percent","4.1","4.2",4e-04
"US National","1 wk ahead","Bin","percent","4.2","4.3",0.001
"US National","1 wk ahead","Bin","percent","4.3","4.4",9e-04
"US National","1 wk ahead","Bin","percent","4.4","4.5",8e-04
"US National","1 wk ahead","Bin","percent","4.5","4.6",8e-04
"US National","1 wk ahead","Bin","percent","4.6","4.7",0.0011
"US National","1 wk ahead","Bin","percent","4.7","4.8",9e-04
"US National","1 wk ahead","Bin","percent","4.8","4.9",9e-04
"US National","1 wk ahead","Bin","percent","4.9","5.0",0.001
"US National","1 wk ahead","Bin","percent","5.0","5.1",0.0012
"US National","1 wk ahead","Bin","percent","5.1","5.2",9e-04
"US National","1 wk ahead","Bin","percent","5.2","5.3",6e-04
"US National","1 wk ahead","Bin","percent","5.3","5.4",6e-04
"US National","1 wk ahead","Bin","percent","5.4","5.5",7e-04
"US National","1 wk ahead","Bin","percent","5.5","5.6",0.0014
"US National","1 wk ahead","Bin","percent","5.6","5.7",0.001
"US National","1 wk ahead","Bin","percent","5.7","5.8",3e-04
"US National","1 wk ahead","Bin","percent","5.8","5.9",0.0012
"US National","1 wk ahead","Bin","percent","5.9","6.0",0.0011
"US National","1 wk ahead","Bin","percent","6.0","6.1",8e-04
"US National","1 wk ahead","Bin","percent","6.1","6.2",9e-04
"US National","1 wk ahead","Bin","percent","6.2","6.3",0.001
"US National","1 wk ahead","Bin","percent","6.3","6.4",7e-04
"US National","1 wk ahead","Bin","percent","6.4","6.5",9e-04
"US National","1 wk ahead","Bin","percent","6.5","6.6",0.0012
"US National","1 wk ahead","Bin","percent","6.6","6.7",5e-04
"US National","1 wk ahead","Bin","percent","6.7","6.8",8e-04
"US National","1 wk ahead","Bin","percent","6.8","6.9",0.001
"US National","1 wk ahead","Bin","percent","6.9","7.0",4e-04
"US National","1 wk ahead","Bin","percent","7.0","7.1",0.001
"US National","1 wk ahead","Bin","percent","7.1","7.2",0.001
"US National","1 wk ahead","Bin","percent","7.2","7.3",7e-04
"US National","1 wk ahead","Bin","percent","7.3","7.4",0.0014
"US National","1 wk ahead","Bin","percent","7.4","7.5",0.0012
"US National","1 wk ahead","Bin","percent","7.5","7.6",8e-04
"US National","1 wk ahead","Bin","percent","7.6","7.7",0.001
"US National","1 wk ahead","Bin","percent","7.7","7.8",7e-04
"US National","1 wk ahead","Bin","percent","7.8","7.9",7e-04
"US National","1 wk ahead","Bin","percent","7.9","8.0",6e-04
"US National","1 wk ahead","Bin","percent","8.0","8.1",7e-04
"US National","1 wk ahead","Bin","percent","8.1","8.2",7e-04
"US National","1 wk ahead","Bin","percent","8.2","8.3",9e-04
"US National","1 wk ahead","Bin","percent","8.3","8.4",9e-04
"US National","1 wk ahead","Bin","percent","8.4","8.5",3e-04
"US National","1 wk ahead","Bin","percent","8.5","8.6",6e-04
"US National","1 wk ahead","Bin","percent","8.6","8.7",8e-04
"US National","1 wk ahead","Bin","percent","8.7","8.8",6e-04
"US National","1 wk ahead","Bin","percent","8.8","8.9",0.001
"US National","1 wk ahead","Bin","percent","8.9","9.0",5e-04
"US National","1 wk ahead","Bin","percent","9.0","9.1",8e-04
"US National","1 wk ahead","Bin","percent","9.1","9.2",5e-04
"US National","1 wk ahead","Bin","percent","9.2","9.3",6e-04
"US National","1 wk ahead","Bin","percent","9.3","9.4",4e-04
"US National","1 wk ahead","Bin","percent","9.4","9.5",3e-04
"US National","1 wk ahead","Bin","percent","9.5","9.6",0.0011
"US National","1 wk ahead","Bin","percent","9.6","9.7",9e-04
"US National","1 wk ahead","Bin","percent","9.7","9.8",6e-04
"US National","1 wk ahead","Bin","percent","9.8","9.9",8e-04
"US National","1 wk ahead","Bin","percent","9.9","10.0",0.001
"US National","1 wk ahead","Bin","percent","10.0","10.1",9e-04
"US National","1 wk ahead","Bin","percent","10.1","10.2",5e-04
"US National","1 wk ahead","Bin","percent","10.2","10.3",0.0011
"US National","1 wk ahead","Bin","percent","10.3","10.4",5e-04
"US National","1 wk ahead","Bin","percent","10.4","10.5",8e-04
"US National","1 wk ahead","Bin","percent","10.5","10.6",7e-04
"US National","1 wk ahead","Bin","percent","10.6","10.7",4e-04
"US National","1 wk ahead","Bin","percent","10.7","10.8",8e-04
"US National","1 wk ahead","Bin","percent","10.8","10.9",9e-04
"US National","1 wk ahead","Bin","percent","10.9","11.0",8e-04
"US National","1 wk ahead","Bin","percent","11.0","11.1",7e-04
"US National","1 wk ahead","Bin","percent","11.1","11.2",0.0013
"US National","1 wk ahead","Bin","percent","11.2","11.3",0.0011
"US National","1 wk ahead","Bin","percent","11.3","11.4",0.0012
"US National","1 wk ahead","Bin","percent","11.4","11.5",5e-04
"US National","1 wk ahead","Bin","percent","11.5","11.6",3e-04
"US National","1 wk ahead","Bin","percent","11.6","11.7",4e-04
"US National","1 wk ahead","Bin","percent","11.7","11.8",9e-04
"US National","1 wk ahead","Bin","percent","11.8","11.9",8e-04
"US National","1 wk ahead","Bin","percent","11.9","12.0",0.001
"US National","1 wk ahead","Bin","percent","12.0","12.1",0.0012
"US National","1 wk ahead","Bin","percent","12.1","12.2",9e-04
"US National","1 wk ahead","Bin","percent","12.2","12.3",6e-04
"US National","1 wk ahead","Bin","percent","12.3","12.4",0.0013
"US National","1 wk ahead","Bin","percent","12.4","12.5",0.001
"US National","1 wk ahead","Bin","percent","12.5","12.6",5e-04
"US National","1 wk ahead","Bin","percent","12.6","12.7",9e-04
